,Authors,CiteScore,CiteScorePercentile,Views,OpenAccess,Affiliations,Prominence,Citations,FWCI,Publication type
47666,6,6.2,4.0,180,0,3,99.88799999999999,19,1.35,Article
54751,6,2.3,35.0,18,0,4,98.911,17,0.81,Article
17922,2,7.0,8.0,41,0,4,92.179,42,3.17,Article
86245,3,,,17,0,1,91.876,11,2.03,Conference Paper
33858,6,,,9,0,3,88.866,26,5.25,Conference Paper
29583,5,8.2,5.0,57,0,4,91.291,29,1.29,Article
11127,5,,,23,1,2,89.98700000000001,58,10.22,Conference Paper
67869,3,7.8,7.0,62,0,2,89.087,14,0.94,Article
18909,2,3.0,34.0,11,1,5,88.527,41,2.59,Article
76594,5,1.1,67.0,17,0,5,87.69,12,2.0,Conference Paper
22482,2,,,11,0,1,95.315,36,2.71,Conference Paper
49914,3,1.1,70.0,50,0,2,96.37,19,0.81,Article
41642,5,6.6,10.0,16,0,2,85.238,22,1.06,Article
18125,6,4.8,19.0,15,0,1,93.757,42,2.61,Article
34362,3,,,57,0,3,78.795,26,0.93,Book
25885,3,,,41,0,7,99.911,32,6.41,Conference Paper
55108,6,3.0,23.0,18,0,5,98.82600000000001,17,1.92,Article
6270,3,3.4,12.0,118,1,2,94.779,83,4.27,Article
15822,5,,,36,1,2,92.75,46,5.82,Conference Paper
7560,2,0.9,73.0,22,0,2,98.53,74,13.43,Chapter
76543,3,,,5,0,2,97.225,12,1.61,Conference Paper
17920,3,5.3,16.0,33,1,2,92.76700000000001,42,1.98,Article
59006,7,3.0,23.0,39,0,2,51.99,16,1.73,Article
39518,4,0.2,93.0,33,0,1,96.295,23,1.31,Article
40857,4,4.9,16.0,11,0,1,99.62200000000001,22,1.43,Article
10630,4,,,24,0,2,99.365,60,7.32,Conference Paper
44219,2,1.8,45.0,12,0,1,99.07600000000001,21,3.49,Conference Paper
71687,5,8.8,1.0,24,1,4,28.926,13,0.95,Article
63176,3,0.6,83.0,34,0,3,77.113,15,1.94,Conference Paper
1398,6,11.8,2.0,85,0,6,2.7060000000000004,207,14.17,Article
25536,1,1.6,40.0,87,0,1,98.853,32,6.28,Conference Paper
92399,3,8.6,5.0,20,0,3,92.244,10,0.92,Article
47655,6,2.6,37.0,59,0,7,94.23200000000001,19,0.89,Article
19141,3,10.8,1.0,15,1,4,99.805,40,3.68,Conference Paper
18143,3,10.6,3.0,19,0,1,94.00299999999999,42,3.04,Article
2525,4,12.0,2.0,48,0,7,98.745,145,8.38,Article
45544,5,4.3,7.0,59,1,3,94.94,20,1.3,Article
13592,3,6.7,2.0,66,1,1,99.148,51,4.19,Article
50145,3,,,18,0,1,97.19,19,2.6,Conference Paper
98522,3,1.2,53.0,14,1,2,75.994,9,1.11,Conference Paper
45543,3,1.6,40.0,57,1,1,98.287,20,1.51,Article
43611,4,1.6,40.0,65,1,4,99.946,21,2.41,Conference Paper
55009,4,3.6,16.0,16,0,1,80.458,17,0.74,Article
41304,5,,,15,0,1,99.152,22,3.9,Conference Paper
24125,4,2.8,32.0,27,0,1,74.051,34,3.41,Conference Paper
97480,1,2.8,21.0,26,0,2,13.13,9,0.8,Article
38236,3,4.6,19.0,29,1,3,86.12700000000001,24,1.38,Article
77544,7,,,40,0,2,49.3,12,1.32,Conference Paper
26494,6,5.2,7.0,70,0,4,94.615,32,2.37,Article
81143,5,0.7,68.0,81,0,3,72.771,12,1.89,Conference Paper
58417,3,,,8,0,1,89.391,16,4.87,Conference Paper
39498,3,4.5,9.0,36,1,7,74.502,23,2.44,Article
30267,4,,,17,0,2,96.302,28,1.16,Conference Paper
97559,5,1.6,50.0,6,0,2,97.34200000000001,9,0.42,Article
63163,3,0.7,73.0,8,0,2,40.418,15,1.53,Conference Paper
61262,4,4.8,8.0,22,1,4,99.333,15,0.75,Article
48216,3,3.4,21.0,16,1,2,98.943,19,1.11,Article
65369,3,4.6,21.0,44,1,2,99.956,15,0.52,Article
99218,1,4.7,16.0,25,0,1,,9,0.51,Article
69428,2,,,7,0,1,97.462,14,2.86,Conference Paper
70030,2,6.6,10.0,6,0,2,97.17399999999999,14,0.58,Article
86378,2,2.6,41.0,17,0,1,98.979,11,0.65,Article
34758,5,,,91,1,3,98.53,25,5.35,Conference Paper
70524,4,,,6,0,2,99.63799999999999,13,2.0,Conference Paper
75482,4,1.3,53.0,19,0,3,68.417,13,0.76,Article
22220,3,1.5,51.0,23,0,1,95.01899999999999,36,2.5,Article
62412,6,2.9,34.0,12,0,2,99.16,15,0.5,Article
93614,3,2.0,28.0,12,1,7,75.304,10,1.28,Article
97868,3,,,42,1,1,83.454,9,0.0,Article
76426,4,6.2,4.0,201,1,1,86.17200000000001,12,1.23,Article
54233,3,,,11,0,2,94.65299999999999,17,1.71,Conference Paper
57727,1,,,16,0,1,25.068,16,0.5,Book
89087,3,,,23,0,1,80.332,10,2.73,Conference Paper
40011,2,4.7,18.0,101,0,2,19.37,23,1.27,Article
64416,3,,,13,0,1,88.175,15,1.56,Conference Paper
45239,4,8.2,5.0,43,1,4,97.322,20,0.74,Article
3798,2,5.0,17.0,42,1,5,73.137,114,2.32,Review
79818,3,6.4,3.0,22,0,2,79.244,12,0.72,Article
18253,6,1.6,40.0,16,0,1,89.26799999999999,42,5.07,Conference Paper
40060,3,2.0,29.0,38,0,3,99.335,23,0.95,Article
41583,4,,,21,0,4,99.67,22,3.9,Conference Paper
17017,3,,,81,0,2,99.855,44,6.15,Conference Paper
84748,3,,,26,0,2,76.175,11,1.58,Conference Paper
61031,4,2.9,22.0,12,1,2,84.37799999999999,16,1.72,Article
68540,3,1.6,40.0,12,0,2,90.85600000000001,14,2.66,Conference Paper
54189,3,,,66,0,3,97.85700000000001,17,3.47,Conference Paper
29845,5,3.9,21.0,17,1,2,77.242,29,1.75,Article
43245,4,4.3,10.0,56,0,2,99.92399999999999,21,1.47,Article
40157,4,3.6,16.0,56,0,2,98.92299999999999,23,1.16,Article
79726,4,,,11,0,1,91.755,12,1.73,Conference Paper
90843,4,,,8,0,2,99.49,10,1.61,Conference Paper
23891,2,16.3,1.0,34,0,1,87.02600000000001,34,2.2,Article
53047,6,2.0,40.0,58,1,3,96.84700000000001,18,1.3,Article
5764,2,10.6,3.0,29,0,1,92.397,88,5.56,Article
74770,2,10.6,3.0,46,0,1,67.57300000000001,13,0.63,Article
42290,4,,,8,1,1,96.844,22,1.9,Article
72545,2,1.1,57.0,204,1,1,69.428,13,1.06,Article
7684,3,,,1,1,2,99.906,74,6.59,Article
18396,19,5.8,13.0,22,1,7,98.206,41,2.4,Article
2843,3,10.6,3.0,21,0,1,97.336,135,7.76,Article
849,4,5.2,6.0,213,1,2,99.855,276,24.04,Article
99921,3,1.2,53.0,51,1,2,49.687,9,1.66,Conference Paper
57132,2,4.3,7.0,31,1,2,73.604,16,1.01,Article
83331,4,6.5,9.0,22,0,1,9.543,11,1.3,Conference Paper
67703,4,,,17,1,1,99.99799999999999,14,1.02,Conference Paper
43811,4,3.8,13.0,29,0,6,99.62899999999999,21,1.16,Article
54301,6,3.4,25.0,37,0,3,94.561,17,0.75,Article
16794,4,8.4,6.0,26,0,7,89.88600000000001,44,3.57,Article
23387,5,3.8,15.0,76,0,1,99.81299999999999,35,2.11,Article
56042,3,,,22,0,1,47.483000000000004,17,3.69,Conference Paper
117,5,,,21,0,1,99.99799999999999,946,92.57,Conference Paper
22641,7,5.4,14.0,46,1,2,98.363,35,0.94,Article
92285,3,1.6,40.0,34,1,2,97.225,10,0.72,Conference Paper
51897,2,,,18,0,2,61.143,18,2.76,Conference Paper
79282,3,,,21,0,2,99.241,12,2.2,Conference Paper
26766,2,6.9,8.0,27,0,1,71.866,31,2.33,Article
90327,7,,,9,0,5,79.862,10,2.8,Conference Paper
67887,3,,,7,0,1,44.918,14,0.24,Conference Paper
41370,2,1.6,40.0,9,1,1,74.77600000000001,22,1.21,Conference Paper
29072,5,6.0,4.0,33,0,3,78.407,29,1.98,Article
1498,7,8.1,1.0,28,0,4,98.529,199,12.98,Article
12436,4,1.3,37.0,33,1,2,99.50200000000001,54,1.07,Review
33563,3,6.9,8.0,71,1,1,97.01299999999999,26,1.69,Article
25519,2,7.4,1.0,32,1,2,90.42299999999999,32,1.26,Article
33368,3,,,1,0,1,99.906,26,1.38,Article
46778,3,3.9,25.0,12,0,2,99.38600000000001,20,0.97,Article
15877,5,6.0,4.0,87,0,4,59.303000000000004,46,3.67,Article
54156,5,0.9,73.0,27,0,4,98.53,17,3.31,Chapter
54271,3,4.5,9.0,13,0,1,88.14200000000001,17,0.78,Article
19601,3,8.2,1.0,152,0,1,88.965,39,0.81,Review
67287,3,7.6,6.0,42,0,2,87.68,14,0.9,Article
13849,7,6.4,12.0,51,0,1,98.927,50,1.99,Article
73542,5,5.4,14.0,31,1,2,99.777,13,0.75,Article
43877,3,8.9,4.0,18,0,1,84.086,21,1.38,Article
49307,4,,,39,0,3,96.73700000000001,19,2.87,Conference Paper
24002,5,,,11,0,3,99.54799999999999,34,4.91,Conference Paper
10662,4,9.6,3.0,55,1,2,92.994,60,3.67,Article
36299,6,2.8,30.0,28,1,5,82.62,25,1.38,Article
73770,2,,,64,0,1,87.993,13,1.86,Conference Paper
37137,2,,,16,0,1,93.609,24,4.94,Conference Paper
86615,2,0.8,79.0,7,1,2,93.83200000000001,11,3.68,Conference Paper
95067,8,5.4,14.0,18,1,3,97.76799999999999,10,0.47,Article
50935,4,1.6,40.0,4,1,3,96.39399999999999,18,3.62,Conference Paper
39969,4,5.2,21.0,48,0,4,92.04299999999999,23,0.76,Article
30292,22,1.0,65.0,18,0,2,80.891,28,8.01,Conference Paper
58569,5,2.9,35.0,20,0,2,92.295,16,0.86,Article
9613,5,1.6,40.0,24,0,3,98.855,64,8.69,Conference Paper
71256,2,4.7,8.0,18,1,2,88.527,13,1.2,Article
40727,3,8.9,8.0,18,0,3,81.438,22,0.81,Article
21308,3,,,46,0,3,99.40899999999999,37,3.83,Conference Paper
83212,3,3.5,25.0,12,0,2,65.707,11,2.17,Conference Paper
34817,2,8.2,1.0,60,0,1,67.607,25,1.99,Article
4262,3,5.4,14.0,25,1,2,51.523,106,1.72,Review
11066,7,8.8,1.0,27,0,5,98.723,59,2.51,Article
15295,4,,,11,1,1,99.354,47,8.0,Conference Paper
83519,3,4.3,10.0,44,0,2,89.97200000000001,11,0.79,Article
70597,7,4.5,17.0,21,0,1,67.907,13,1.8,Conference Paper
47406,2,2.8,20.0,43,0,1,98.21799999999999,20,1.38,Article
71845,5,2.8,20.0,25,0,5,91.884,13,1.13,Article
11821,8,4.4,11.0,28,0,8,94.85,56,4.98,Article
70931,2,3.4,20.0,15,0,2,91.12700000000001,13,0.54,Article
30612,1,1.9,47.0,16,1,1,86.669,28,2.59,Article
10392,3,6.5,9.0,54,0,3,87.51700000000001,61,3.18,Article
67969,3,3.3,4.0,9,0,3,93.36399999999999,14,0.75,Article
50561,4,13.1,1.0,51,1,4,88.816,18,2.31,Article
97607,1,2.3,35.0,9,0,1,89.214,9,0.5,Article
14856,1,0.7,53.0,17,1,1,97.646,48,40.34,Note
21969,5,10.1,1.0,96,1,3,26.226999999999997,36,3.73,Article
68304,4,2.4,40.0,19,1,2,92.109,14,1.32,Article
85546,3,0.6,77.0,28,0,2,96.47399999999999,11,2.15,Article
18414,4,2.4,38.0,62,1,5,96.53299999999999,41,2.24,Article
36523,2,,,12,0,2,58.67,24,2.27,Conference Paper
6925,4,8.9,4.0,25,0,1,98.803,79,4.87,Article
93412,1,,,20,0,1,99.67,10,2.08,Conference Paper
19395,4,8.6,3.0,46,0,3,97.34899999999999,40,2.37,Article
22623,3,,,20,1,3,74.199,36,2.82,Conference Paper
19058,3,,,20,0,1,97.225,40,5.83,Conference Paper
95823,2,8.9,8.0,33,1,1,81.08,10,0.65,Article
89596,1,14.2,1.0,10,0,1,,10,7.29,Editorial
61884,3,4.5,17.0,21,0,1,97.691,15,2.31,Conference Paper
5399,1,10.6,3.0,41,0,1,96.756,92,4.62,Article
49847,4,2.4,33.0,14,0,4,91.884,19,2.68,Article
81363,7,,,12,0,3,91.03200000000001,12,1.17,Conference Paper
85430,4,4.8,7.0,39,0,2,68.227,11,0.95,Article
83918,13,1.0,65.0,13,0,5,69.684,11,4.22,Conference Paper
52486,5,1.6,40.0,30,0,3,99.63799999999999,18,1.69,Conference Paper
70131,1,0.5,81.0,37,0,2,99.875,14,1.27,Article
159,5,17.4,1.0,49,1,1,99.99799999999999,787,36.62,Conference Paper
71291,3,,,9,0,2,99.145,13,0.88,Article
21020,2,2.0,40.0,34,1,1,99.85799999999999,38,2.93,Article
83601,2,6.0,7.0,9,1,1,99.79700000000001,11,3.18,Conference Paper
15494,3,1.9,47.0,43,1,1,95.94,47,3.68,Article
55786,4,1.6,58.0,20,0,2,91.32799999999999,17,1.26,Article
31502,4,6.0,4.0,59,1,3,97.32600000000001,28,2.68,Article
16850,2,,,19,1,2,99.916,44,8.96,Conference Paper
87866,5,4.9,17.0,14,0,6,98.53200000000001,11,0.69,Article
59157,5,7.9,2.0,11,1,3,82.069,16,0.44,Article
5366,5,5.8,5.0,68,0,2,97.971,92,5.9,Article
47509,3,3.0,22.0,19,0,1,87.488,20,0.52,Article
47366,2,6.0,4.0,22,0,3,91.958,20,1.69,Article
49254,2,1.4,58.0,16,0,1,92.322,19,0.95,Letter
77811,3,0.7,73.0,13,0,3,68.23,12,3.36,Conference Paper
63545,4,1.2,62.0,20,0,2,99.859,15,1.49,Article
47894,6,5.2,7.0,19,0,1,99.956,19,1.21,Article
30738,3,4.8,6.0,27,0,1,90.198,28,2.67,Article
12393,1,6.3,10.0,40,0,1,78.377,54,1.28,Review
60091,3,3.6,16.0,35,1,2,87.369,16,1.26,Article
82451,3,,,25,0,2,92.345,11,4.23,Conference Paper
50537,5,8.2,5.0,23,0,3,87.97399999999999,18,1.59,Article
15406,1,6.4,9.0,27,0,1,83.48700000000001,47,3.29,Article
62648,3,5.6,4.0,23,0,3,96.74700000000001,15,1.34,Article
97322,3,3.6,16.0,52,0,2,94.50399999999999,9,0.53,Article
33440,1,1.2,59.0,14,1,1,78.962,26,1.55,Article
3511,6,6.5,9.0,26,1,2,98.521,119,10.72,Conference Paper
71797,5,1.8,45.0,8,0,1,99.79,13,1.75,Conference Paper
19231,4,7.3,6.0,23,0,3,96.712,40,2.04,Article
65787,1,,,8,0,1,84.65,14,3.12,Conference Paper
90883,3,2.2,22.0,27,0,1,61.897,10,0.73,Article
92906,10,,,6,0,2,88.75200000000001,10,2.34,Conference Paper
56836,2,,,16,0,2,97.395,17,3.47,Conference Paper
65455,3,4.1,1.0,83,0,2,99.551,14,2.43,Article
26307,3,2.0,27.0,26,0,2,97.219,32,2.26,Article
43706,6,3.1,35.0,12,0,3,96.07,21,0.83,Article
3675,3,11.4,1.0,55,1,2,99.681,116,6.46,Article
86857,2,1.6,40.0,10,0,1,99.54799999999999,11,1.45,Conference Paper
89090,2,0.6,81.0,28,0,1,78.544,10,0.69,Article
85433,1,10.1,2.0,18,0,3,20.706,11,2.62,Editorial
34508,5,6.3,10.0,24,0,2,91.444,26,1.93,Article
2219,3,,,5,1,1,99.916,157,15.18,Conference Paper
98766,6,3.3,22.0,13,0,2,99.209,9,0.6,Article
22598,6,2.8,21.0,208,1,6,39.429,36,1.48,Article
31346,2,,,53,0,1,90.802,28,3.03,Conference Paper
6125,5,5.6,15.0,55,1,3,96.552,85,4.03,Article
6801,4,3.1,20.0,18,1,3,94.87799999999999,80,7.2,Article
90123,3,2.8,32.0,15,0,3,99.559,10,1.7,Conference Paper
12484,4,8.2,1.0,167,1,2,98.818,54,3.98,Article
2472,2,,,111,0,1,97.462,146,5.35,Book
15621,4,8.6,3.0,71,0,4,98.745,46,3.41,Article
45171,3,2.2,37.0,11,0,9,99.212,20,4.67,Conference Paper
26289,5,8.2,6.0,46,0,1,85.196,32,1.8,Article
42683,2,0.9,73.0,35,1,2,99.99799999999999,21,1.27,Article
9974,4,2.2,22.0,11,0,2,91.10600000000001,62,4.84,Article
52449,2,4.5,3.0,14,1,5,71.406,18,1.18,Article
41697,6,,,54,0,1,85.2,22,4.34,Conference Paper
86008,3,0.2,93.0,8,1,3,74.907,11,0.95,Article
12688,2,6.5,9.0,15,0,2,99.212,53,4.01,Article
71289,1,5.7,3.0,38,0,1,24.02,13,0.64,Article
55827,6,,,35,0,7,97.74600000000001,17,2.32,Conference Paper
67281,4,,,15,0,5,88.82600000000001,14,2.83,Conference Paper
60420,3,8.0,4.0,5,0,1,88.303,16,2.06,Conference Paper
60776,4,11.1,1.0,6,0,3,99.156,16,1.33,Article
74311,3,6.4,9.0,11,0,2,79.204,13,1.0,Article
11435,4,5.0,6.0,19,0,5,99.45700000000001,57,3.42,Article
59883,6,6.0,5.0,7,0,4,68.334,16,1.89,Article
26553,3,3.6,34.0,188,1,1,96.484,31,1.54,Article
50477,3,,,9,0,2,9.683,19,4.58,Conference Paper
96569,2,,,11,0,1,23.705,9,1.18,Conference Paper
85804,3,0.8,79.0,20,1,2,85.515,11,3.01,Conference Paper
2861,185,1.0,65.0,85,1,78,94.96799999999999,134,38.36,Conference Paper
83805,5,2.5,36.0,42,0,1,77.87,11,0.51,Article
59697,4,3.5,14.0,11,0,2,86.603,16,0.7,Article
4557,5,3.5,14.0,25,1,4,99.902,102,7.77,Article
40715,3,3.9,38.0,15,0,3,99.34100000000001,22,1.05,Article
69102,5,5.3,4.0,60,1,3,67.66199999999999,14,0.87,Article
16700,6,1.6,40.0,17,1,2,99.62899999999999,44,4.83,Conference Paper
7900,5,10.2,3.0,24,0,2,97.12700000000001,72,3.45,Article
84270,4,3.7,15.0,7,0,2,87.36399999999999,11,1.94,Conference Paper
22014,3,,,15,0,1,92.84100000000001,36,5.46,Conference Paper
92988,2,,,15,0,1,91.979,10,1.86,Conference Paper
75921,2,1.0,65.0,41,0,3,89.492,12,2.53,Conference Paper
57478,2,2.8,14.0,92,0,1,21.65,16,1.47,Article
41416,5,6.3,10.0,21,0,2,95.069,22,0.91,Article
21100,3,7.3,6.0,10,1,4,99.789,37,2.55,Article
53679,4,6.4,12.0,12,1,3,98.29299999999999,17,1.09,Article
66960,5,2.6,44.0,27,0,2,49.0,14,0.91,Article
736,4,4.9,17.0,99,0,2,99.223,304,15.77,Article
84396,4,5.7,19.0,18,1,5,98.899,11,1.02,Article
13907,4,,,18,0,2,99.29299999999999,50,7.11,Conference Paper
68558,2,7.3,6.0,13,0,1,79.653,14,0.82,Article
4,2,,,559,1,1,98.979,9752,384.13,Conference Paper
66135,2,1.1,56.0,8,1,2,92.337,14,4.45,Conference Paper
90623,2,,,7,0,1,12.870999999999999,10,3.47,Conference Paper
89070,7,1.8,35.0,54,1,2,99.93700000000001,10,2.08,Conference Paper
34877,3,,,20,0,2,95.891,25,3.18,Conference Paper
73652,4,1.2,53.0,16,1,2,81.693,13,1.11,Conference Paper
68763,3,6.2,4.0,86,0,1,95.72399999999999,14,1.1,Article
16896,5,9.2,3.0,26,0,2,95.766,44,2.88,Article
23756,3,3.8,15.0,72,0,2,98.07,34,2.57,Article
77135,3,,,6,0,1,77.89,12,2.66,Conference Paper
36149,3,,,9,1,2,99.74,25,2.1,Conference Paper
10512,2,3.5,14.0,13,1,1,99.46700000000001,60,6.18,Article
93766,3,,,24,0,1,87.81,10,1.13,Conference Paper
81586,3,,,3,1,2,70.16,12,1.22,Article
12175,2,5.5,5.0,33,0,3,99.791,55,3.75,Article
13514,3,,,8,1,3,99.125,51,4.11,Conference Paper
35833,4,8.0,4.0,10,0,3,98.523,25,3.09,Conference Paper
76992,3,1.6,40.0,12,0,2,99.70700000000001,12,2.17,Conference Paper
93029,2,14.6,1.0,16,0,1,88.866,10,0.64,Article
93590,1,1.2,55.0,7,1,2,72.571,10,1.25,Article
37904,3,,,25,0,2,91.463,24,3.08,Conference Paper
30534,35,1.0,65.0,12,1,21,72.075,28,10.12,Conference Paper
9121,2,,,16,0,2,73.827,66,12.32,Conference Paper
30485,5,2.2,50.0,19,0,1,97.971,28,1.8,Conference Paper
38259,2,10.2,3.0,25,0,1,61.431999999999995,24,1.77,Article
93641,2,,,17,0,1,96.709,10,0.97,Conference Paper
93328,4,,,31,0,1,97.682,10,6.04,Conference Paper
34608,1,9.1,4.0,15,0,1,82.20700000000001,26,1.02,Article
85199,3,1.6,40.0,10,0,1,10.026,11,0.97,Conference Paper
36483,7,5.3,22.0,29,1,6,98.04799999999999,24,1.68,Article
57404,3,,,28,0,3,98.363,16,2.65,Conference Paper
17961,6,6.8,7.0,41,1,4,83.884,42,2.46,Article
63505,4,4.8,7.0,12,1,1,98.818,15,1.74,Article
42709,6,3.8,15.0,34,0,4,99.566,21,1.17,Article
74189,19,1.0,65.0,9,1,8,81.03399999999999,13,5.06,Conference Paper
23490,5,5.2,21.0,31,0,4,92.03200000000001,34,1.8,Article
2071,10,,,39,1,7,98.94200000000001,163,22.24,Conference Paper
72961,6,3.8,15.0,14,0,4,98.448,13,1.17,Article
71559,2,1.6,40.0,8,1,1,95.43799999999999,13,2.17,Conference Paper
95935,4,,,13,0,2,81.874,10,2.55,Conference Paper
84259,3,,,35,0,2,87.455,11,3.45,Conference Paper
86198,2,,,22,0,1,98.961,11,1.2,Conference Paper
24355,1,15.6,1.0,28,1,1,90.40799999999999,34,2.55,Article
1920,5,,,26,0,3,95.162,172,22.14,Conference Paper
62000,7,1.0,65.0,23,0,4,98.726,15,5.06,Conference Paper
76714,14,1.0,65.0,9,0,11,70.695,12,5.06,Conference Paper
50488,8,5.7,19.0,27,1,5,99.376,19,1.23,Article
75393,4,4.9,17.0,19,0,3,95.162,13,0.86,Article
89009,8,1.6,40.0,15,1,4,39.883,10,1.45,Conference Paper
8191,7,0.8,79.0,31,1,3,99.068,71,10.38,Conference Paper
43705,3,5.7,9.0,48,0,2,89.834,21,1.44,Article
58819,3,5.2,5.0,12,0,1,99.11,16,1.95,Article
90746,5,,,13,0,1,99.79,10,1.07,Conference Paper
73639,4,3.6,20.0,15,0,4,97.26700000000001,13,0.52,Article
93724,4,,,24,0,1,96.098,10,2.23,Conference Paper
10686,6,4.8,8.0,42,0,3,98.37100000000001,60,4.65,Article
40699,3,,,54,1,1,99.57600000000001,22,4.22,Conference Paper
31058,5,8.7,5.0,28,1,2,97.289,28,1.93,Article
64804,3,4.5,17.0,19,0,1,81.459,15,1.8,Conference Paper
23587,4,4.6,21.0,71,1,4,98.68299999999999,34,2.06,Article
54035,1,0.8,31.0,56,0,1,24.276999999999997,17,2.64,Article
691,1,3.1,35.0,40,1,6,35.097,316,13.25,Article
56157,4,,,7,0,3,99.49,17,2.69,Conference Paper
20795,2,,,41,0,1,88.01,38,3.59,Conference Paper
42596,1,,,23,0,1,91.03200000000001,21,3.39,Conference Paper
13712,4,1.9,51.0,46,0,2,99.79700000000001,51,1.87,Article
37698,7,1.6,40.0,23,0,2,77.123,24,3.38,Conference Paper
24863,6,5.4,14.0,19,1,4,73.404,33,1.5,Article
52402,2,0.5,82.0,92,0,2,75.922,18,0.86,Article
44469,6,1.2,53.0,18,0,4,96.681,21,1.64,Article
93330,3,14.6,1.0,24,1,3,87.21799999999999,10,0.96,Article
21002,9,5.4,14.0,39,1,5,90.0,38,1.69,Article
7823,1,9.6,3.0,22,1,2,85.885,73,3.79,Article
98030,3,,,17,1,1,62.853,9,1.13,Conference Paper
80731,4,,,13,1,1,97.11,12,1.97,Conference Paper
9076,4,17.4,1.0,18,0,2,99.385,66,3.68,Conference Paper
24170,5,1.5,55.0,129,1,3,98.65799999999999,34,1.92,Article
72660,4,1.8,35.0,35,1,2,66.942,13,2.5,Conference Paper
25978,4,11.8,2.0,16,1,3,99.03,32,1.81,Article
29204,2,5.5,5.0,26,0,1,54.03,29,1.62,Article
84473,4,2.6,44.0,20,0,3,57.268,11,1.17,Article
6859,5,16.3,1.0,45,0,1,95.75399999999999,79,5.03,Article
69584,1,5.2,21.0,26,0,1,80.78399999999999,14,0.38,Article
29127,4,9.2,3.0,29,0,2,74.587,29,1.92,Article
33431,2,3.9,16.0,27,0,2,95.94,26,1.7,Article
19077,6,8.0,4.0,13,0,3,86.471,40,8.77,Chapter
61899,2,4.0,7.0,49,0,2,83.63,15,1.92,Article
24145,4,12.0,2.0,35,0,4,99.859,34,2.2,Article
65976,4,,,22,0,4,98.609,14,1.42,Conference Paper
14340,4,,,9,0,3,95.95100000000001,49,1.85,Conference Paper
10287,4,,,11,0,2,99.73299999999999,61,10.37,Conference Paper
72327,2,,,22,0,2,98.96799999999999,13,1.51,Conference Paper
54583,2,1.2,53.0,15,1,4,93.609,17,3.32,Conference Paper
68486,6,6.8,11.0,37,0,3,99.54799999999999,14,0.51,Article
15047,5,5.5,18.0,51,0,3,95.381,48,2.64,Article
74790,3,,,17,0,2,98.943,13,1.5,Conference Paper
42850,9,,,19,0,1,79.975,21,4.34,Conference Paper
70999,5,,,22,0,2,95.381,13,1.5,Conference Paper
37880,3,7.2,2.0,35,0,2,61.882,24,1.4,Article
15658,1,3.1,20.0,11,1,1,97.77600000000001,46,4.09,Article
91140,2,,,11,0,1,97.914,10,1.91,Conference Paper
30046,6,3.1,9.0,43,1,4,96.949,29,2.05,Article
39766,4,7.9,2.0,15,1,7,85.72200000000001,23,1.76,Article
67312,2,,,11,0,1,99.539,14,2.28,Conference Paper
2088,5,,,26,1,4,99.152,162,24.73,Conference Paper
26637,4,6.0,4.0,74,0,3,96.72200000000001,31,2.96,Article
73778,6,5.5,5.0,40,0,4,52.283,13,0.51,Article
47806,2,,,15,0,1,13.057,19,2.69,Conference Paper
93924,4,2.3,21.0,72,0,2,51.43600000000001,10,0.85,Article
79144,4,5.5,5.0,17,0,5,95.021,12,0.51,Article
90078,5,10.8,1.0,16,1,6,98.435,10,0.36,Article
56111,5,,,6,0,1,72.825,17,2.23,Conference Paper
61399,7,4.5,17.0,24,1,2,99.61,15,3.08,Conference Paper
40585,9,1.0,65.0,17,0,2,64.218,22,8.85,Conference Paper
36008,11,,,16,1,6,99.381,25,1.44,Article
79568,3,3.5,14.0,34,1,1,95.948,12,0.95,Article
28050,3,3.5,14.0,15,1,6,93.756,30,2.85,Article
79903,2,,,20,0,1,99.54799999999999,12,2.27,Conference Paper
14131,5,10.8,1.0,30,1,3,99.262,50,2.88,Article
88054,4,8.0,1.0,18,1,9,99.916,11,1.24,Article
21900,1,6.8,11.0,48,0,1,98.37299999999999,36,1.93,Article
28957,3,5.6,5.0,46,0,1,92.176,29,2.14,Article
51540,6,3.6,16.0,37,0,1,83.77,18,0.95,Article
30536,2,3.5,5.0,37,0,1,96.945,28,2.95,Article
3023,6,2.1,35.0,41,1,6,90.991,130,8.82,Article
41449,2,5.6,13.0,46,0,1,45.111000000000004,22,1.5,Article
6716,1,1.8,35.0,131,1,1,99.895,80,15.41,Conference Paper
22874,3,4.6,19.0,31,0,2,95.18700000000001,35,2.36,Article
84591,5,,,9,0,2,85.87799999999999,11,1.97,Conference Paper
8271,3,1.6,40.0,7,1,2,99.33,70,9.42,Conference Paper
80781,6,1.3,53.0,10,0,3,85.709,12,0.51,Article
64348,6,,,43,1,1,97.70700000000001,15,2.39,Conference Paper
55119,4,,,21,1,1,81.86,17,3.72,Conference Paper
21021,10,8.2,5.0,70,1,6,97.322,38,2.03,Article
80449,3,,,14,0,1,98.538,12,1.21,Conference Paper
14897,3,16.3,1.0,56,0,2,99.611,48,2.52,Article
5807,3,16.3,1.0,51,0,1,99.667,87,6.29,Article
41080,5,7.4,1.0,65,0,4,98.74600000000001,22,1.55,Article
17776,9,,,35,0,4,99.365,42,4.12,Conference Paper
30180,3,5.5,18.0,26,0,2,97.228,29,1.93,Article
35426,3,3.3,18.0,8,1,2,61.726000000000006,25,2.4,Article
