Publication type,Year,Authors,CiteScore,CiteScorePercentile,Views,OpenAccess,Affiliations,Prominence,Citations,FWCI
Conference Paper,2016,3,,,32,0,2,99.998,414,26.43
Article,2016,1,6.3,18,131,1,1,99.916,413,17.84
Article,2016,5,10.8,1,62,1,5,88.08,412,22.95
Article,2016,6,17.7,1,90,1,4,99.79,412,21.99
Review,2016,3,4.1,18,242,1,2,96.939,411,8.64
Article,2016,4,6.4,12,61,1,5,99.629,411,27.92
Article,2016,5,6.2,4,130,1,4,98.896,411,22.65
Conference Paper,2016,5,,,155,0,2,99.395,410,62.13
Article,2016,5,4.8,7,105,0,8,91.884,409,30.34
Conference Paper,2016,4,17.4,1,37,1,2,97.923,408,20.2
Conference Paper,2016,3,,,19,0,2,99.629,408,49.7
Article,2016,3,6.2,4,425,0,3,99.602,406,18.38
Article,2016,4,3.9,25,170,0,1,97.503,406,22.94
Article,2016,4,9.1,4,77,0,6,98.393,405,30.07
Conference Paper,2016,4,1.6,40,24,1,4,99.998,405,44.19
Article,2016,8,11.9,3,104,1,9,99.681,404,19.36
Article,2016,4,22,1,79,1,2,99.998,404,32.21
Article,2016,5,5.3,16,55,1,3,98.628,404,19.73
Article,2016,4,4.9,17,130,0,1,98.821,404,26.98
Conference Paper,2016,5,1.6,40,28,1,7,99.998,403,28.73
Article,2016,27,4.7,5,74,1,44,93.423,401,21.85
Article,2016,1,17.7,1,41,1,1,97.132,399,24.36
Review,2016,5,2.5,34,803,1,1,99.707,399,5.23
Conference Paper,2016,3,,,27,0,2,99.903,399,42.1
Conference Paper,2016,5,,,166,1,2,99.797,399,39.11
Article,2016,3,7.2,2,149,0,1,99.925,399,21.42
Conference Paper,2016,3,,,24,1,1,95.951,399,37.14
Article,2016,3,7.4,1,443,0,2,99.802,398,17.9
Conference Paper,2016,4,,,30,0,2,98.461,398,41.04
Article,2016,5,6.9,8,112,0,3,68.118,398,31.46
Conference Paper,2016,6,17.4,1,23,1,4,97.923,398,19.15
Article,2016,3,10.8,1,52,1,19,89.449,398,14.9
Article,2016,8,17.7,1,69,1,5,99.731,396,20.44
Article,2016,8,8.2,6,199,0,4,78.763,396,8.6
Article,2016,1,4.4,18,55,0,1,99.906,396,22.4
Conference Paper,2016,4,17.4,1,26,0,1,99.74,395,23.26
Article,2016,1,16.3,1,90,1,1,97.35,395,24.65
Editorial,2016,3,7.5,6,412,1,5,37.765,395,226.2
Article,2016,3,12,2,70,0,1,99.438,395,22.72
Article,2016,8,10.2,3,83,1,5,99.478,394,21.96
Article,2016,3,4.4,17,13,1,4,99.731,394,21.29
Conference Paper,2016,4,1.6,40,30,1,2,97.926,393,36.22
Conference Paper,2016,3,,,41,0,2,99.998,393,45.23
Review,2016,5,5.4,14,331,1,4,98.917,393,5.63
Editorial,2016,2,,,9,0,2,,392,201.81
Conference Paper,2016,5,17.4,1,41,0,3,99.733,392,18.63
Conference Paper,2016,4,,,23,0,1,95.951,392,17.55
Article,2016,3,5.4,5,386,1,5,99.058,390,46.98
Article,2016,1,,,130,1,2,52.668,390,16.77
Conference Paper,2016,4,,,23,0,2,99.707,390,32.98
Article,2016,4,22,1,55,1,3,98.035,389,16.62
Article,2016,2,7.6,8,322,0,2,99.583,389,12.42
Article,2016,4,16.2,1,84,1,3,99.502,389,26.2
Article,2016,3,6.8,11,152,0,1,99.906,388,19.73
Review,2016,3,5.4,14,103,1,2,99.986,387,6.49
Article,2016,9,6.5,16,134,1,2,97.941,386,18.72
Conference Paper,2016,6,17.4,1,32,1,3,98.045,386,22.52
Conference Paper,2016,7,17.4,1,81,1,3,97.214,385,19.99
Conference Paper,2016,5,17.4,1,33,0,6,94.473,384,13.47
Conference Paper,2016,5,17.4,1,28,1,2,99.998,384,16.31
Conference Paper,2016,6,,,37,0,2,99.294,384,31.09
Article,2016,3,9.5,2,52,1,4,99.731,383,30.7
Review,2016,5,5.4,14,85,1,2,97.251,383,5.37
Conference Paper,2016,4,1.6,40,16,1,2,99.74,383,27.53
Conference Paper,2016,6,17.4,1,66,0,3,99.998,383,16.94
Conference Paper,2016,3,17.4,1,41,1,1,99.733,381,23.57
Review,2016,2,3.7,10,95,0,4,98.952,381,13.46
Article,2016,2,2.3,16,227,0,4,98.001,380,17.47
Conference Paper,2016,11,,,27,1,1,97.914,380,51.41
Conference Paper,2016,4,,,40,1,2,99.057,379,54.21
Conference Paper,2016,2,17.4,1,23,1,1,99.998,379,18.73
Conference Paper,2016,6,,,107,1,3,96.214,379,39.94
Conference Paper,2016,5,17.4,1,38,1,3,99.629,379,23.89
Article,2016,3,7.3,6,27,1,4,87.591,378,18.46
Conference Paper,2016,3,17.4,1,37,0,2,99.998,378,20.42
Conference Paper,2016,4,,,27,0,4,97.822,378,55.57
Article,2016,2,8.6,3,95,0,1,99.64,377,18.58
Review,2016,4,5.4,14,50,1,2,99.75,377,6.38
Review,2016,3,7.8,1,663,1,3,99.061,377,8.09
Article,2016,9,8.2,5,123,0,5,97.905,377,21.59
Conference Paper,2016,4,1.6,40,23,1,1,98.178,377,49.74
Article,2016,3,14.6,1,61,1,1,99.212,376,30.77
Article,2016,12,,,99,1,3,97.301,376,22.72
Article,2016,6,8.6,3,380,0,5,99.331,375,19.71
Editorial,2016,2,10.1,2,190,1,1,99.624,375,75.06
Review,2016,2,14,2,117,0,2,88.542,375,8.04
Article,2016,2,0.8,74,68,0,1,99.748,374,12.16
Article,2016,3,7,3,315,0,6,99.643,373,20.4
Article,2016,1,,,15,1,1,99.391,372,36.56
Review,2016,3,3.6,38,650,1,2,95,372,9.99
Conference Paper,2016,3,1.6,40,291,0,2,99.585,372,25.59
Article,2016,8,8.2,5,150,1,1,99.998,371,19.47
Article,2016,4,12,2,58,0,5,99.716,371,20.62
Conference Paper,2016,5,17.4,1,35,0,3,99.16,370,11.79
Article,2016,2,6.2,4,492,0,4,99.946,370,13.72
Article,2016,4,9.6,3,92,0,4,99.068,370,23.91
Article,2016,1,8.2,5,286,1,5,91.885,369,17.37
Conference Paper,2016,5,11.4,1,66,1,2,99.61,368,61.93
Article,2016,5,2.2,22,73,0,6,96.809,368,39.42
Article,2016,7,16.3,1,34,0,4,97.955,367,18.67
Conference Paper,2016,3,,,59,0,1,99.916,366,25.71
Article,2016,6,8.2,5,99,0,1,97.449,366,18.31
Article,2016,4,5.3,6,44,0,2,98.572,366,12.84
Conference Paper,2016,4,3.5,25,28,1,2,98.284,365,45.26
Conference Paper,2016,2,17.4,1,56,1,1,99.998,365,20.84
Conference Paper,2016,4,,,9,0,1,99.294,364,30.53
Article,2016,2,6.2,4,594,0,1,99.736,363,15.32
Conference Paper,2016,5,,,61,1,5,99.916,363,63.16
Review,2016,3,8.9,2,222,1,4,98.013,363,26.92
Conference Paper,2016,4,17.4,1,36,1,2,99.74,362,21.78
Book,2016,5,,,70,1,10,92.783,361,14.41
Conference Paper,2016,2,,,9,0,1,96.67,361,36.33
Conference Paper,2016,9,,,23,0,6,99.998,361,33.48
Article,2016,12,9.2,3,165,1,6,94.925,361,19.84
Article,2016,4,,,101,0,3,99.681,361,19.28
Article,2016,5,7.3,3,47,0,5,97.532,361,13.43
Review,2016,4,5.4,14,79,1,4,98.118,360,4.74
Article,2016,7,3.5,14,180,1,5,99.539,360,26.96
Article,2016,4,22,1,71,1,2,99.998,360,15.93
Conference Paper,2016,3,9.5,2,28,1,3,99.354,359,87.36
Article,2016,5,16.3,1,116,0,2,99.685,359,14.58
Conference Paper,2016,4,17.4,1,45,0,4,99.998,359,13.57
Review,2016,2,5.1,8,163,0,4,98.465,359,7.27
Article,2016,2,8.7,1,38,1,1,97.311,359,20.56
Article,2016,4,22,1,33,1,3,97.923,358,16.84
Article,2016,5,22,1,65,0,3,98.785,358,21.62
Article,2016,2,6.2,4,382,0,1,99.024,358,19.24
Conference Paper,2016,4,17.4,1,60,1,3,99.33,358,19.05
Article,2016,3,1.9,51,258,0,2,99.911,358,15.23
Article,2016,4,9.5,2,38,0,4,99.731,357,24.94
Article,2016,3,6,5,47,1,1,99.212,357,34.09
Conference Paper,2016,3,,,144,0,2,85.887,356,51.93
Conference Paper,2016,5,,,69,0,1,76.435,355,29.21
Article,2016,5,11.6,2,87,0,4,97.722,355,16.28
Conference Paper,2016,4,,,43,0,3,95.451,355,37.63
Conference Paper,2016,2,17.4,1,52,1,1,99.998,355,14.63
Conference Paper,2016,3,17.4,1,36,1,2,99.478,354,21.05
Conference Paper,2016,5,17.4,1,36,1,2,99.74,354,20.1
Review,2016,3,16.1,1,183,1,3,99.412,353,6.49
Conference Paper,2016,8,,,115,0,4,99.998,353,60.05
Article,2016,3,14.2,1,85,1,3,99.467,353,22.69
Conference Paper,2016,5,,,21,1,2,99.998,353,11.93
Review,2016,3,5.8,6,838,0,3,98.923,353,8.62
Article,2016,5,5.4,5,144,0,4,96.375,352,14.95
Article,2016,3,5.2,17,152,0,2,96.49,351,18.43
Review,2016,4,3.5,14,86,1,2,97.252,351,10
Conference Paper,2016,3,,,351,1,1,99.98,351,49.33
Conference Paper,2016,3,17.4,1,49,1,1,99.998,351,13.05
Conference Paper,2016,2,,,235,0,4,99.98,350,63.36
Review,2016,4,1.2,43,272,0,1,99.911,350,6.86
Article,2016,7,10.1,1,938,1,5,96.107,350,34.58
Article,2016,3,4.9,14,62,1,4,96.563,350,23.25
Article,2016,3,10.1,2,148,1,3,97.014,350,18.77
Conference Paper,2016,6,,,40,0,1,95.974,349,38.87
Conference Paper,2016,2,17.4,1,24,1,1,97.923,349,11.68
Conference Paper,2016,5,1.6,40,24,0,2,99.478,349,45.39
Article,2016,2,8.8,4,140,0,2,99.855,349,19.16
Article,2016,12,10.8,1,24,1,4,99.852,349,17.06
Article,2016,5,4.9,17,141,1,3,99.468,348,15.17
Conference Paper,2016,4,,,61,0,4,95.974,348,39.81
Article,2016,2,22,1,71,1,1,89.858,348,23.44
Conference Paper,2016,5,1.2,53,60,1,3,99.115,348,33.45
Conference Paper,2016,3,,,58,0,3,99.796,348,28.48
Article,2016,3,11.6,2,33,0,2,99.637,347,20.96
Conference Paper,2016,4,17.4,1,21,1,1,99.722,347,18.21
Conference Paper,2016,4,,,42,0,2,97.185,347,34.35
Article,2016,3,5.2,8,420,0,1,99.895,346,13.41
Conference Paper,2016,4,1.6,40,16,1,1,99.74,346,35.25
Conference Paper,2016,4,,,136,0,1,99.911,345,47.47
Conference Paper,2016,18,,,28,0,1,88.175,345,42.63
Conference Paper,2016,11,,,242,1,3,95.125,343,29.99
Article,2016,3,2.7,10,28,1,3,97.345,343,21.67
Article,2016,6,17.4,1,142,0,3,98.035,343,20.15
Conference Paper,2016,9,,,81,0,1,99.998,342,45.08
Article,2016,10,11.1,1,22,0,5,93.525,342,11.24
Conference Paper,2016,4,13,2,45,1,1,99.722,342,18.73
Book,2016,3,,,69,0,3,96.709,341,12.34
Article,2016,3,13.1,1,105,0,1,98.662,341,26.75
Conference Paper,2016,5,,,52,0,3,98.502,341,25.84
Conference Paper,2016,5,17.4,1,38,1,3,99.74,340,20.73
Conference Paper,2016,5,,,49,0,3,99.916,339,32.19
Article,2016,5,8.7,5,83,1,3,83.644,339,16.77
Conference Paper,2016,13,1.6,40,58,1,4,92.693,338,37.91
Article,2016,8,22,1,83,1,3,99.998,338,18.44
Article,2016,8,5,6,75,0,1,81.545,338,14.98
Conference Paper,2016,5,1.6,40,32,1,4,99.733,338,45.15
Conference Paper,2016,4,,,42,0,1,99.365,338,28.57
Conference Paper,2016,2,,,37,0,1,98.232,338,22.24
Conference Paper,2016,2,,,43,0,1,99.998,337,7.48
Article,2016,9,22,1,69,1,6,99.722,337,18.44
Article,2016,5,7.8,7,125,0,3,95.432,336,20.56
Article,2016,5,8.7,1,34,1,4,96.262,336,23.05
Conference Paper,2016,6,17.4,1,35,0,1,98.855,336,16.73
Conference Paper,2016,5,1.6,40,24,1,3,99.552,333,28.98
Article,2016,4,14,2,63,1,3,97.256,333,30.17
Article,2016,4,7.3,6,100,1,2,90.267,333,15.61
Article,2016,4,14,1,91,0,1,99.716,333,28.97
Article,2016,3,14,1,57,0,2,99.716,332,28.04
Conference Paper,2016,2,,,38,0,1,99.902,331,32.4
Conference Paper,2016,6,17.4,1,51,1,6,99.624,331,13.47
Conference Paper,2016,2,1.6,40,32,0,1,98.072,331,33.8
Article,2016,4,5.5,11,86,0,2,99.748,331,16.25
Review,2016,3,3.4,32,361,0,1,99.035,331,9.15
Conference Paper,2016,3,,,29,0,1,98.072,329,19.49
Article,2016,2,7.1,8,89,1,1,95.806,329,20.19
Conference Paper,2016,5,17.4,1,38,0,3,99.145,329,15.05
Conference Paper,2016,3,,,22,0,1,98.461,329,35.64
Article,2016,4,11.6,2,75,0,2,99.716,328,17.84
Review,2016,3,4.1,15,78,1,1,98.011,327,7.5
Conference Paper,2016,14,2.8,32,74,1,2,96.313,327,25.34
Article,2016,6,8.2,5,144,0,4,99.457,326,16.62
Conference Paper,2016,6,6.5,9,180,1,5,79.048,326,49.84
Article,2016,2,8.8,1,431,0,2,99.946,326,18.18
Review,2016,4,,,34,1,15,99.186,326,7.55
Article,2016,3,5.3,2,538,0,3,0.589,325,14.42
Article,2016,4,4.9,17,26,1,3,9.588,325,6.64
Conference Paper,2016,3,7.6,9,75,0,1,98.373,325,16.55
Article,2016,2,13.1,1,233,0,2,99.744,325,32.71
Article,2016,4,9.5,2,43,1,3,99.212,325,27.82
Article,2016,3,5.3,6,39,0,2,96.809,325,19.19
Article,2016,5,7.3,3,114,1,2,99.241,324,18.98
Conference Paper,2016,3,6,7,15,1,3,98.487,324,53.77
Conference Paper,2016,5,,,17,1,2,99.855,324,43.36
Article,2016,2,6.2,4,293,1,1,99.945,323,13.35
Conference Paper,2016,2,,,65,1,1,98.84,322,39.27
Conference Paper,2016,2,,,21,1,1,99.998,322,40.4
Conference Paper,2016,3,,,36,0,1,99.707,322,37.08
Conference Paper,2016,5,17.4,1,57,1,1,99.74,322,21.57
Article,2016,2,2.2,49,204,0,2,96.021,321,10.74
Review,2016,4,7.2,2,281,0,4,99.925,321,9.64
Article,2016,4,9.1,4,81,0,6,98.393,320,23.24
Article,2016,4,14,1,66,0,2,98.393,320,31.53
Article,2016,3,8.2,1,172,0,1,99.855,320,20.71
Review,2016,8,7.2,2,161,0,4,99.925,320,9.86
Conference Paper,2016,7,,,50,0,2,99.74,320,31.09
Review,2016,5,3.5,14,84,1,5,98.863,319,7.58
Conference Paper,2016,3,,,72,1,1,99.728,319,42.37
Review,2016,3,8.1,6,133,0,1,98.979,318,7.58
Conference Paper,2016,3,,,24,0,3,53.476,318,31.09
Article,2016,3,5.3,16,644,1,3,97.817,318,16.4
Article,2016,3,11.1,1,18,1,2,96.887,318,14.1
Conference Paper,2016,6,,,47,0,2,99.707,318,41.22
Review,2016,3,5.4,14,75,1,3,91.416,317,4.51
Conference Paper,2016,5,17.4,1,34,0,3,94.756,317,15.05
Article,2016,5,10.8,1,21,1,5,95.319,317,8.05
Article,2016,4,10.2,3,89,0,2,99.722,316,22.16
Article,2016,1,3.1,35,40,1,6,35.097,316,13.25
Review,2016,3,17.7,1,58,1,1,99.152,316,9.41
Article,2016,2,6.2,4,626,0,3,99.736,316,13.35
Article,2016,2,2.8,23,183,1,1,99.796,316,16.15
Article,2016,4,1.5,48,294,0,1,99.728,315,11.59
Article,2016,4,10.1,1,376,1,5,99.136,315,21.95
Review,2016,2,5.4,14,41,1,3,99.909,314,5.6
Article,2016,2,4.4,16,30,0,3,99.859,314,15.82
Conference Paper,2016,3,6,5,13,1,3,96.178,314,29.57
Review,2016,3,4.1,18,292,1,2,97.525,314,4.07
Conference Paper,2016,4,17.4,1,34,1,2,95.282,313,16.42
Review,2016,3,,,168,1,3,99.951,313,5.67
Conference Paper,2016,5,17.4,1,28,1,1,98.611,312,18.31
Conference Paper,2016,4,,,58,0,1,99.748,312,26.58
Article,2016,7,4.7,5,65,1,5,95.857,312,20.83
Article,2016,4,4.7,20,276,0,2,99.393,311,20.14
Conference Paper,2016,6,17.4,1,32,1,4,99.74,311,15.78
Conference Paper,2016,4,17.4,1,25,1,3,99.629,311,20.31
Article,2016,8,6.4,10,77,0,5,98.182,310,15.74
Review,2016,6,5.4,14,268,1,2,49.59,310,5.52
Article,2016,6,10.8,1,35,1,2,99.413,310,17.18
Conference Paper,2016,5,17.4,1,58,1,1,98.045,310,12.94
Conference Paper,2016,3,6,7,21,0,1,99.956,310,53.13
Article,2016,2,2.4,30,24,0,2,66.878,310,16.35
Article,2016,4,6.2,4,517,0,5,99.888,309,12.62
Article,2016,4,5.9,3,185,0,2,83.549,309,20.6
Conference Paper,2016,3,,,13,1,1,99.916,309,25.93
Review,2016,5,5.4,14,55,1,6,88.089,308,2.8
Article,2016,9,4.1,20,49,0,1,95.434,308,23.97
Article,2016,2,17.7,1,36,1,1,99.883,308,17.86
Review,2016,1,4.1,15,83,1,1,89.156,307,6.21
Conference Paper,2016,4,,,33,0,2,95.974,307,34.39
Conference Paper,2016,6,,,18,0,1,99.98,307,37.81
Conference Paper,2016,6,,,56,0,1,99.409,307,20.51
Conference Paper,2016,5,17.4,1,38,1,3,99.478,307,17.15
Article,2016,4,4.8,7,755,0,4,99.583,306,28.67
Conference Paper,2016,4,1.6,40,59,1,3,97.449,306,35.25
Article,2016,7,9.2,3,122,1,3,92.058,306,17.7
Article,2016,5,8,1,688,1,6,98.658,306,21.76
Review,2016,3,6,4,233,1,3,92.001,306,7.55
Article,2016,1,10.8,1,17,1,1,97.797,305,15.98
Article,2016,1,2.8,29,74,1,1,99.833,305,6.85
Conference Paper,2016,3,,,27,0,1,97.357,305,59.13
Conference Paper,2016,2,1.6,40,24,1,1,99.74,304,34.77
Article,2016,2,10.1,1,349,1,2,99.517,304,27.33
Article,2016,4,4.9,17,99,0,2,99.223,304,15.77
Conference Paper,2016,4,,,37,0,1,99.385,303,26.83
Article,2016,3,5.6,5,203,1,2,99.325,303,11.83
Conference Paper,2016,3,6,5,31,1,3,89.085,303,35.93
Article,2016,3,14,1,33,0,1,99.716,303,17.45
Review,2016,7,5.9,2,331,1,4,99.146,302,42.82
Article,2016,4,22,1,160,1,6,99.385,302,18.44
Chapter,2016,5,,,37,0,3,99.733,302,126.12
Article,2016,5,8.6,3,105,0,4,98.756,301,15.58
Article,2016,4,5.3,4,55,0,4,96.563,301,35.55
Conference Paper,2016,5,17.4,1,37,0,3,99.733,301,21.15
Article,2016,4,10.6,3,46,1,4,97.446,300,21.82
Article,2016,2,10.1,1,385,0,1,99.432,300,26.3
Conference Paper,2016,3,,,9,0,9,98.178,300,36.71
Article,2016,4,12,2,52,0,3,95.903,300,18.95
Article,2016,2,15.2,1,283,0,2,98.662,299,16.23
Conference Paper,2016,5,,,18,0,3,96.411,299,40.99
Article,2016,19,2.6,25,87,0,12,79.156,299,32.71
Article,2016,4,17.7,1,25,1,3,99.212,298,18.27
Conference Paper,2016,10,,,31,0,3,99.842,298,51.06
Article,2016,7,15.6,1,68,1,5,99.589,297,17.76
Article,2016,10,14,1,143,1,7,99.906,297,20.83
Conference Paper,2016,3,1.6,40,27,1,2,92.119,297,27.53
Conference Paper,2016,4,17.4,1,48,1,1,99.624,297,15.26
Article,2016,4,5.3,2,181,0,2,27.868,296,13.25
Conference Paper,2016,4,,,33,0,2,99.98,296,43.13
Article,2016,3,16.1,1,85,0,1,95.891,295,18.62
Article,2016,3,3.8,18,21,1,1,98.957,295,9.02
Review,2016,2,5.2,17,104,0,1,98.538,295,7.62
Conference Paper,2016,5,6.5,9,122,1,4,91.487,295,24.19
Conference Paper,2016,4,1.8,35,440,1,2,78.613,294,38.31
Review,2016,8,8.2,5,389,0,10,91.86,294,6.11
Conference Paper,2016,5,,,17,0,5,99.56,294,35.77
Article,2016,12,4.3,18,147,1,4,73.399,294,18.17
Conference Paper,2016,6,,,30,0,2,99.581,293,27.22
Article,2016,8,3,32,35,0,3,98.006,293,8.13
Conference Paper,2016,4,,,41,0,1,99.998,293,33.25
Article,2016,2,8.2,1,260,0,1,96.588,293,18.58
Review,2016,4,5.5,14,420,1,2,99.122,293,7.13
Article,2016,4,6.1,11,191,0,3,98.826,292,16.49
Article,2016,1,8.7,1,24,1,2,92.734,291,19
Review,2016,9,5.4,16,663,1,5,99.776,291,6.43
Article,2016,10,17.7,1,151,0,5,99.67,291,18.58
Article,2016,2,10.6,3,52,0,2,99.859,291,16.05
Conference Paper,2016,3,,,46,0,2,99.998,291,29.32
Article,2016,1,7.2,2,77,1,3,99.925,291,12.81
Article,2016,3,6.3,10,73,0,2,99.64,290,11.27
Article,2016,2,5.8,11,84,0,2,99.076,290,19.01
Article,2016,19,3.6,28,42,1,10,34.008,290,11.6
Conference Paper,2016,4,17.4,1,29,0,1,99.733,289,23.15
Article,2016,2,5.4,5,504,0,1,55.766,289,34.57
Conference Paper,2016,4,1.2,53,569,1,1,99.98,289,37.6
Short Survey,2016,7,6.1,11,62,1,5,97.717,289,47.67
Article,2016,3,2.6,33,59,0,3,97.334,289,16.86
Conference Paper,2016,8,,,18,0,2,98.437,289,36.67
Article,2016,5,4.9,17,111,1,4,99.624,289,14.91
Conference Paper,2016,6,,,22,0,2,99.916,288,13.59
Article,2016,4,22,1,38,0,2,99.478,288,20.14
Article,2016,5,4.9,17,153,0,5,99.855,288,14.4
Short Survey,2016,2,9.2,3,225,0,1,16.479,288,5.77
Article,2016,1,8.6,3,118,0,1,99.906,287,15.27
Article,2016,4,22,1,50,0,2,97.127,287,13.88
Article,2016,5,11.6,2,74,1,4,98.943,286,10.43
Conference Paper,2016,3,1.6,40,40,1,1,98.178,286,39.36
Review,2016,2,6,4,369,0,1,96.091,286,7.71
Article,2016,5,17.7,1,116,0,3,34.556,286,16.1
Article,2016,5,5.5,11,75,1,4,99.956,286,16.25
Article,2016,7,22,1,104,1,5,98.855,286,17.75
Article,2016,3,13.1,1,87,1,2,99.936,285,29.44
Conference Paper,2016,4,,,37,0,1,91.573,285,20.77
Article,2016,2,22,1,85,1,1,99.629,285,18.32
Article,2016,4,10.1,1,511,1,3,99.517,285,19.7
Article,2016,2,7.3,3,88,0,2,99.539,285,15.51
Conference Paper,2016,4,,,60,1,1,96.69,285,20.99
Conference Paper,2016,6,,,7,1,2,96.946,284,27.56
Article,2016,3,15.6,1,31,1,3,98.945,284,8.55
Review,2016,2,5.4,14,58,1,2,96.688,284,5.6
Conference Paper,2016,6,1.6,40,286,1,4,99.98,284,33.32
Conference Paper,2016,4,1.6,40,20,0,3,95.282,283,23.18
Review,2016,4,,,50,1,3,98.046,283,6.92
Article,2016,5,10.8,1,37,1,5,99.223,283,26.07
Article,2016,6,15.6,1,119,1,6,99.589,283,16.76
Article,2016,3,8.8,1,40,0,2,96.49,282,14.44
Article,2016,4,4.3,7,158,1,2,92.032,282,17.24
Article,2016,12,6.2,4,59,1,17,86.128,281,7.88
Article,2016,2,5.1,1,703,1,4,99.863,281,22.12
Conference Paper,2016,3,,,97,0,2,94.057,281,21.3
Article,2016,11,8.2,5,128,0,6,96.502,281,16.51
Article,2016,4,3.3,4,63,0,5,92.054,281,26.91
Conference Paper,2016,5,,,13,0,3,99.916,280,12.23
Article,2016,3,16.3,1,60,0,2,72.962,280,13.11
Conference Paper,2016,4,10.6,3,45,1,4,99.438,280,49.67
Conference Paper,2016,1,,,27,0,1,95.066,280,37.92
Article,2016,3,4,7,588,0,3,98.176,280,22.02
Conference Paper,2016,20,1,65,10,1,15,99.706,280,16.44
Article,2016,3,5.2,21,69,1,2,95.227,280,13.46
Conference Paper,2016,23,,,82,0,1,43.516,280,21.92
Conference Paper,2016,2,2.8,32,32,0,1,81.309,280,17.46
Conference Paper,2016,5,6,12,213,1,4,99.98,280,26.3
Article,2016,3,8.8,1,13,1,2,96.809,280,17.9
Article,2016,7,12,2,70,1,8,98.473,279,11.83
Conference Paper,2016,4,,,33,0,4,99.916,279,13.6
Conference Paper,2016,2,6,12,63,0,1,92.937,279,27.62
Conference Paper,2016,3,1.4,65,31,1,2,99.902,278,17.96
Article,2016,3,4.1,19,200,0,1,99.681,278,11.82
Article,2016,4,16.3,1,211,0,4,99.799,278,13.64
Article,2016,3,14.6,1,51,1,2,99.956,278,15.49
Review,2016,1,4.2,8,305,0,1,99.192,278,29.17
Article,2016,2,6.8,11,115,0,1,99.748,278,13.22
Article,2016,3,2.3,38,53,0,4,99.654,278,23.75
Article,2016,4,8.6,3,79,0,1,98.225,278,13.21
Article,2016,6,7.2,2,246,0,3,99.925,277,14.67
Conference Paper,2016,10,,,66,1,9,91.766,276,24.29
Article,2016,4,5.2,6,213,1,2,99.855,276,24.04
Article,2016,5,9.1,4,72,0,3,99.859,276,17.02
Conference Paper,2016,3,17.4,1,22,1,3,99.622,276,15.89
Article,2016,2,4.5,10,657,1,2,99.583,276,17.64
Article,2016,4,6,4,280,1,1,99.34,276,20.75
Review,2016,3,16.3,1,57,0,2,98.393,276,8.79
Article,2016,12,4.7,5,52,1,2,71.975,276,23.39
Conference Paper,2016,7,17.4,1,30,1,5,99.733,276,12.42
Conference Paper,2016,4,1.6,40,13,1,3,99.707,275,34.53
Article,2016,3,4.9,17,31,0,1,23.139,275,6.64
Review,2016,1,8.2,1,268,0,1,99.796,275,7.6
Conference Paper,2016,7,,,29,1,3,96.297,274,35.71
Review,2016,10,,,43,1,7,99.795,274,5.96
Article,2016,5,16.3,1,80,0,5,97.395,274,14.16
Article,2016,4,8.7,5,29,1,5,99.731,274,19.31
Review,2016,4,,,169,1,3,99.215,274,8.2
Conference Paper,2016,7,,,314,0,4,99.98,274,22.2
Conference Paper,2016,3,,,59,0,2,99.468,274,27.87
Article,2016,5,8.2,5,72,0,6,99.872,274,11.46
Article,2016,2,4.8,8,184,0,2,99.643,274,16.7
Article,2016,5,10.2,3,46,0,1,99.16,273,7.58
Article,2016,4,9.6,3,104,1,3,99.876,273,15.73
Article,2016,4,16.3,1,80,1,2,98.414,273,19.09
Conference Paper,2016,4,,,45,0,3,99.156,273,33.45
Article,2016,6,,,21,1,2,99.898,273,18.94
Conference Paper,2016,6,17.4,1,43,1,7,98.293,272,13.57
Article,2016,3,6.2,4,285,0,2,24.784,272,12.13
Conference Paper,2016,7,1.6,40,32,0,7,93.633,272,27.77
Article,2016,5,16.3,1,80,1,4,99.507,272,16.57
Conference Paper,2016,5,,,79,0,4,95.974,272,29.19
Article,2016,6,8.2,5,91,0,3,94.99,272,15.88
Conference Paper,2016,5,1.8,35,465,1,2,35.209,271,39.56
Conference Paper,2016,6,17.4,1,32,0,1,96.411,271,12.52
Review,2016,6,5.5,8,179,0,4,98.382,271,6.76
Conference Paper,2016,3,,,21,1,2,99.916,271,19.48
Conference Paper,2016,2,17.4,1,29,1,2,98.045,271,11.15
Article,2016,2,7,3,193,0,2,82.673,271,18.13
Conference Paper,2016,5,17.4,1,31,1,2,99.74,271,15.36
Conference Paper,2016,4,,,44,0,2,95.121,270,16.44
Article,2016,3,16.3,1,38,1,4,99.438,270,16.99
Article,2016,3,5.7,19,100,1,1,99.376,270,10.64
Article,2016,5,3.5,14,31,1,4,99.045,270,21.88
Conference Paper,2016,21,,,0,0,18,93.166,269,30.14
Article,2016,3,6.9,8,136,0,2,98.683,269,14.83
Article,2016,5,5.2,5,59,0,1,95.055,269,20.57
Article,2016,4,4.8,8,78,0,2,99.643,269,12.94
Conference Paper,2016,5,1.6,40,78,0,5,97.449,269,25.59
Article,2016,6,10.2,3,53,0,5,97.174,269,13.69
Article,2016,4,22,1,41,1,1,98.628,268,19.35
Article,2016,4,22,1,77,1,2,97.174,268,22.42
Conference Paper,2016,4,1.6,40,11,1,3,93.53,268,28.98
Conference Paper,2016,3,11.1,1,66,1,1,92.716,268,18.58
Conference Paper,2016,2,4.5,17,21,1,1,99.61,268,33.87
